aff_raw,count
National Technical University of Athens,78
East China University of Science and Technology,78
NEC,78
Lawrence Livermore National Laboratory,77
"Department of Computer Science, The University of Texas at Austin",77
Meituan Inc.,77
"University of Chinese Academy of Sciences, Beijing 100049, China",76
Intel Corporation,76
USC/ISI,76
"School of Computer Science and Technology, Huazhong University of Science and Technology",76
Alan Turing Institute,76
Reality Labs Research,75
"School of Artificial Intelligence, Beijing University of Posts and Telecommunications",75
"Indian Institute of Technology, Bombay",75
University of Stuttgart,75
"Center for Research in Computer Vision, University of Central Florida",75
Nara Institute of Science and Technology,75
"School of Computer Science and Technology, Soochow University, China",75
"School of Software, Shandong University",75
Aalborg University,74
"School of Computer Science and Engineering, Nanjing University of Science and Technology, Nanjing, China",74
"Institute of Computing and Intelligence, Harbin Institute of Technology, Shenzhen, China",74
"School of Computer Science and Engineering, Nanjing University of Science and Technology",74
"Huawei Technologies Co., Ltd.",74
Amazon Prime Video,74
"Beijing University of Posts and Telecommunications, China",74
Zhongguancun Laboratory,73
Graz University of Technology,73
University of Twente,73
"School of Computer Science and Technology, Beijing Institute of Technology, Beijing, China",73
Bytedance Inc.,73
"University of Roma ""La Sapienza""",73
"National Key Laboratory for Multimedia Information Processing, Peking University",73
"School of EIC, Huazhong University of Science & Technology",73
"ReLER, CCAI, Zhejiang University",72
IT University of Copenhagen,72
Cornell Tech,72
sea Group,72
"School of Computer Science and Technology, Xi’an Jiaotong University",72
The Alan Turing Institute,71
Sensetime Research,71
"Department of Electrical and Computer Engineering, Seoul National University",71
KRAFTON,71
"Language Technology Lab, University of Cambridge",71
"SSE, CUHKSZ",71
University of Birmingham,71
"ETH Zürich, Switzerland",71
Munich Center for Machine Learning,71
"School of Computer Science and Information Engineering, Hefei University of Technology",70
"Tsinghua University, Beijing, China",70
Czech Technical University in Prague,70
"Department of Automation, BNRist, Tsinghua University",70
Suzhou University,70
Florida International University,70
"Imperial College London, UK",70
"Zhejiang University, China",70
Utrecht University,70
"KU Leuven, Belgium",69
"Tencent Youtu Lab, Shanghai, China",69
Amazon AGI,69
"Tencent AI Lab, Shenzhen, China",69
Guangzhou University,69
"State Key Laboratory of Cognitive Intelligence, University of Science and Technology of China",69
"Institute of Artificial Intelligence, Beihang University",69
University of Oslo,69
University of Groningen,69
"McGill University, McGill University",69
Shanxi University,69
University of North Carolina at Charlotte,68
Ben Gurion University of the Negev,68
AIRI,68
Baidu VIS,68
CentraleSupelec,68
"Sapienza NLP Group, Sapienza University of Rome",68
PhiGent Robotics,68
"School of Computer Science and Engineering, Beihang University",67
"Fondazione Bruno Kessler, Trento, Italy",67
Layer 6 AI,67
"VCIP, CS, Nankai University",67
"Department of Computer Science, University of Oxford, UK",67
Caltech,67
"University of California, San Diego, University of California, San Diego",67
"School of Computer Science and Engineering, South China University of Technology, Guangzhou, China",67
Télécom ParisTech,67
"University of Trento, Italy",67
"Max Planck Institute for Intelligent Systems, Tübingen",67
"School of Computer and Information Technology, Beijing Jiaotong University, Beijing, China",67
"Washington University, St. Louis",67
University of Colorado at Boulder,67
"School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University",67
"Shanghai Artificial Intelligence Laboratory, Shanghai, China",67
"Max Planck Institute for Informatics, Saarland Informatics Campus, Germany",66
University of South Carolina,66
Microsoft Azure AI,66
Rheinische Friedrich-Wilhelms Universität Bonn,66
"Harbin Institute of Technology, Harbin, China",66
Technion – Israel Institute of Technology,66
IIT Bombay,66
University of Illinois Chicago,66
"Department of Computer Science, Stanford University",66
"State Key Laboratory of CAD & CG, Zhejiang University",66
"Harbin Institute of Technology (Shenzhen), Shenzhen, China",66
Royal Melbourne Institute of Technology,65
Skoltech,65
Lancaster University,65
Warsaw University of Technology,65
"Tokyo Institute of Technology, Tokyo Institute of Technology",65
"Institute for Interdisciplinary Information Sciences, Tsinghua University",65
Rheinisch Westfälische Technische Hochschule Aachen,65
"Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences",65
University at Buffalo,65
Microsoft Semantic Machines,65
"Key Laboratory of Multimedia Trusted Perception and Efficient Computing, Ministry of Education of China, Xiamen University, China",65
Indian Institute of Technology Hyderabad,65
"Computer Vision Lab, ETH Zurich",65
"FAIR, Meta",65
Shanghai Key Laboratory of Intelligent Information Processing,65
George Washington University,65
"EPFL, Switzerland",64
AI4Bharat,64
"National Engineering Research Center for Software Engineering, Peking University",64
"State Key Lab of Intelligent Technologies and Systems, China",64
"School of Software, Shandong University, Jinan, China",64
ServiceNow,63
"Department of Computer Science, University of Illinois at Urbana-Champaign",63
"WeChat AI, Tencent Inc.",63
University of Guelph,63
National Chiao Tung University,63
"Singapore Management University, Singapore",63
Institute of Software Chinese Academy of Sciences,63
