                                                                                   Error Summary by Conference                                                                                   
┏━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━┓
┃ Conference      ┃ Error Parsing JSON ┃ Input mismatch ┃ Missing LLM Output ┃ Missing aff ┃ Success Rate         ┃ Tokens per Paper ┃ completion_tokens ┃ prompt_tokens    ┃ total_tokens      ┃
│ affiliations-46 │ 37 (0.04%)         │ 0 (0.00%)      │ 35548 (36.00%)     │ 3 (0.00%)   │ 63162/98747 (63.96%) │ 12.92 (100.00%)  │ 113758 (8.91%)    │ 1162510 (91.09%) │ 1276268 (100.00%) │
│ affiliations-47 │ 38 (0.04%)         │ 0 (0.00%)      │ 34006 (34.44%)     │ 3 (0.00%)   │ 64703/98747 (65.52%) │ 12.94 (100.00%)  │ 114487 (8.96%)    │ 1163178 (91.04%) │ 1277665 (100.00%) │
│ affiliations-48 │ 38 (0.04%)         │ 0 (0.00%)      │ 32463 (32.87%)     │ 3 (0.00%)   │ 66246/98747 (67.09%) │ 13.13 (100.00%)  │ 126759 (9.78%)    │ 1169742 (90.22%) │ 1296501 (100.00%) │
│ affiliations-49 │ 40 (0.04%)         │ 0 (0.00%)      │ 30923 (31.32%)     │ 3 (0.00%)   │ 67784/98747 (68.64%) │ 13.11 (100.00%)  │ 125463 (9.69%)    │ 1168698 (90.31%) │ 1294161 (100.00%) │
│ affiliations-5  │ 40 (0.04%)         │ 0 (0.00%)      │ 29380 (29.75%)     │ 3 (0.00%)   │ 69327/98747 (70.21%) │ 13.11 (100.00%)  │ 126791 (9.79%)    │ 1168158 (90.21%) │ 1294949 (100.00%) │
│ affiliations-50 │ 40 (0.04%)         │ 0 (0.00%)      │ 27839 (28.19%)     │ 3 (0.00%)   │ 70868/98747 (71.77%) │ 13.19 (100.00%)  │ 130971 (10.06%)   │ 1171176 (89.94%) │ 1302147 (100.00%) │
│ affiliations-51 │ 40 (0.04%)         │ 0 (0.00%)      │ 26296 (26.63%)     │ 3 (0.00%)   │ 72411/98747 (73.33%) │ 13.15 (100.00%)  │ 127897 (9.85%)    │ 1171079 (90.15%) │ 1298976 (100.00%) │
│ affiliations-52 │ 40 (0.04%)         │ 0 (0.00%)      │ 24753 (25.07%)     │ 3 (0.00%)   │ 73954/98747 (74.89%) │ 13.14 (100.00%)  │ 127832 (9.85%)    │ 1169954 (90.15%) │ 1297786 (100.00%) │
│ affiliations-53 │ 42 (0.04%)         │ 0 (0.00%)      │ 23214 (23.51%)     │ 5 (0.01%)   │ 75491/98747 (76.45%) │ 13.15 (100.00%)  │ 128159 (9.87%)    │ 1170417 (90.13%) │ 1298576 (100.00%) │
│ affiliations-54 │ 43 (0.04%)         │ 0 (0.00%)      │ 21672 (21.95%)     │ 5 (0.01%)   │ 77032/98747 (78.01%) │ 13.16 (100.00%)  │ 128435 (9.89%)    │ 1170722 (90.11%) │ 1299157 (100.00%) │
